City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Vallenar,CL,61.86,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
630,Vicuña,CL,73.0,clear sky,-30.0319,-70.7081,Los Mosaicos
647,Naze,JP,66.63,broken clouds,28.3667,129.4833,Shishime Hotel
652,Shepsi,RU,65.73,scattered clouds,44.0361,39.1489,Otel' Chayka
653,Sayyan,YE,65.03,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
663,Gladstone,AU,74.52,light rain,-23.85,151.25,Highpoint International
669,Jūybār,IR,65.61,overcast clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
670,Abhā,SA,69.13,clear sky,18.2164,42.5053,Abha Hotel
695,Puerto Ayacucho,VE,74.07,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
699,Collie,AU,64.65,clear sky,-33.3667,116.15,Collie Ridge
714,Lima,PE,63.82,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
