City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Kahului,US,2021-11-24 21:18:12,20.8947,-156.47,85.26,70,20,16.11
59,Hanzhong,CN,2021-11-24 21:18:12,33.0728,107.0303,43.43,75,0,1.07
60,Karratha,AU,2021-11-24 21:08:24,-20.7377,116.8463,80.51,47,74,9.66
61,Kalmar,SE,2021-11-24 21:18:13,56.6616,16.3616,45.14,89,90,10.36
62,Namibe,AO,2021-11-24 21:18:13,-15.1961,12.1522,69.94,61,7,9.75
63,Djambala,CG,2021-11-24 21:18:13,-2.5447,14.7533,69.15,90,100,2.26
64,Narasannapeta,IN,2021-11-24 21:18:14,18.4167,84.05,74.43,89,95,4.5
65,Ilulissat,GL,2021-11-24 21:16:31,69.2167,-51.1,28.42,80,40,19.57
66,Salalah,OM,2021-11-24 21:18:15,17.0151,54.0924,80.69,89,0,3.44
67,Thompson,CA,2021-11-24 21:18:15,55.7435,-97.8558,-0.24,71,20,16.11
68,Esperance,AU,2021-11-24 21:08:22,-33.8667,121.9,56.08,83,22,1.88
69,Camabatela,AO,2021-11-24 21:18:16,-8.1881,15.375,63.5,99,99,3.76
70,Ribeira Grande,PT,2021-11-24 21:08:33,38.5167,-28.7,64.8,77,75,26.46
71,Cape Town,ZA,2021-11-24 21:17:12,-33.9258,18.4232,64.11,52,0,12.66
72,Vaini,TO,2021-11-24 21:18:16,-21.2,-175.2,84.36,84,75,4.61
73,Hobyo,SO,2021-11-24 21:16:38,5.3505,48.5268,81.37,75,53,10.74
74,Kerewan,GM,2021-11-24 21:18:17,13.4898,-16.0888,80.71,68,36,7.52
75,Shihezi,CN,2021-11-24 21:18:17,44.3,86.0333,30.67,62,59,0.72
76,Kaitangata,NZ,2021-11-24 21:18:18,-46.2817,169.8464,60.66,53,100,2.66
77,Saldanha,ZA,2021-11-24 21:18:18,-33.0117,17.9442,63.09,70,0,16.35
78,Sterling,US,2021-11-24 21:18:19,39.0062,-77.4286,49.32,42,75,5.01
79,Port Blair,IN,2021-11-24 21:18:19,11.6667,92.75,81.14,82,100,13.4
80,Luchegorsk,RU,2021-11-24 21:18:19,46.4764,134.2569,7.52,99,100,2.55
81,Lapua,FI,2021-11-24 21:18:20,62.9693,23.0088,28.35,85,100,4.36
82,New Norfolk,AU,2021-11-24 21:17:31,-42.7826,147.0587,62.74,52,8,5.01
83,East London,ZA,2021-11-24 21:10:31,-33.0153,27.9116,62.37,70,96,6.64
84,Katsuura,JP,2021-11-24 21:18:21,35.1333,140.3,46.51,68,0,9.66
85,Maxixe,MZ,2021-11-24 21:18:21,-23.8597,35.3472,70.0,76,16,9.37
86,Xambioa,BR,2021-11-24 21:18:22,-6.4111,-48.5364,79.79,77,98,2.53
87,Antofagasta,CL,2021-11-24 21:18:22,-23.65,-70.4,63.68,68,19,8.86
88,Hasaki,JP,2021-11-24 21:18:23,35.7333,140.8333,37.8,48,0,5.55
89,Hovd,MN,2021-11-24 21:18:23,48.0056,91.6419,26.19,55,3,8.95
90,Svetlogorsk,BY,2021-11-24 21:18:24,52.6333,29.7333,35.58,83,100,10.36
91,Bangkalan,ID,2021-11-24 21:18:24,-7.0455,112.7351,76.95,84,98,2.48
92,Carnarvon,AU,2021-11-24 21:18:24,-24.8667,113.6333,62.67,77,0,9.22
93,Namatanai,PG,2021-11-24 21:18:25,-3.6667,152.4333,81.59,74,37,5.91
94,Nikolskoye,RU,2021-11-24 21:16:58,59.7035,30.7861,33.69,88,77,3.69
95,Kondinskoye,RU,2021-11-24 21:19:25,59.6481,67.41,6.26,94,54,9.06
96,Bengkulu,ID,2021-11-24 21:19:23,-3.8004,102.2655,74.34,77,81,4.72
97,Tongchuan,CN,2021-11-24 21:19:26,35.0806,109.0897,40.28,28,0,5.79
98,Pisco,PE,2021-11-24 21:17:37,-13.7,-76.2167,69.85,73,0,13.8
99,Jiayuguan,CN,2021-11-24 21:17:45,39.8167,98.3,27.84,30,2,3.44
100,Vasudevanallur,IN,2021-11-24 21:19:27,9.2333,77.4167,72.9,85,100,0.47
101,Tateyama,JP,2021-11-24 21:19:27,34.9833,139.8667,46.42,63,0,12.44
102,Yulara,AU,2021-11-24 21:19:28,-25.2406,130.9889,60.64,77,0,6.91
103,Trairi,BR,2021-11-24 21:18:25,-3.2778,-39.2689,81.28,77,66,12.75
104,Makhinjauri,GE,2021-11-24 21:19:28,41.6739,41.694,48.06,87,75,6.91
