City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mar del Plata,AR,-38.0023,-57.5575,61.23,93,100,20.09,light rain
80,Ust-Maya,RU,60.4167,134.5333,-7.06,100,99,3.31,overcast clouds
81,Salekhard,RU,66.53,66.6019,3.36,95,100,13.13,overcast clouds
82,Nazrēt,ET,8.55,39.2667,78.8,17,5,20.18,clear sky
83,Ahipara,NZ,-35.1667,173.1667,61.14,88,92,0.56,overcast clouds
84,Cabo San Lucas,MX,22.8909,-109.9124,72.55,79,20,6.13,few clouds
85,Vao,NC,-22.6667,167.4833,75.79,90,18,17.98,few clouds
86,Ribeira Grande,PT,38.5167,-28.7,62.56,56,90,4.92,overcast clouds
87,Alihe,CN,50.5667,123.7167,14.27,78,100,2.75,overcast clouds
88,Saskylakh,RU,71.9167,114.0833,-18.85,99,98,4.14,overcast clouds
89,Cape Town,ZA,-33.9258,18.4232,68.83,61,91,10.58,overcast clouds
90,Kavieng,PG,-2.5744,150.7967,83.01,77,84,10.47,light rain
91,Phan Thiet,VN,10.9333,108.1,75.52,93,100,8.08,overcast clouds
92,Mollendo,PE,-17.0231,-72.0147,65.07,86,99,4.09,overcast clouds
93,Mumford,GH,5.2618,-0.759,83.73,73,24,9.01,few clouds
94,Tymovskoye,RU,50.8456,142.655,17.56,95,100,5.39,overcast clouds
95,Saldanha,ZA,-33.0117,17.9442,67.87,63,62,11.61,broken clouds
96,Hithadhoo,MV,-0.6,73.0833,82.04,78,31,16.37,scattered clouds
97,Palana,RU,59.1167,159.9667,11.53,89,86,9.42,overcast clouds
98,Hilo,US,19.7297,-155.09,72.36,78,88,14.54,light rain
99,Sambava,MG,-14.2667,50.1667,83.7,65,22,11.88,few clouds
100,Teplyk,UA,48.6657,29.745,50.59,92,100,11.79,overcast clouds
101,Nanortalik,GL,60.1432,-45.2371,37.08,95,100,10.6,overcast clouds
102,Gelendzhik,RU,44.5731,38.0747,62.73,67,75,27.07,broken clouds
103,Albany,US,42.6001,-73.9662,27.81,94,94,3.24,light snow
104,Makakilo City,US,21.3469,-158.0858,73.47,61,14,19.89,few clouds
105,Paramonga,PE,-10.6667,-77.8333,65.08,89,99,6.17,overcast clouds
106,Le Robert,MQ,14.6775,-60.9392,79.23,80,65,14.0,broken clouds
107,Puksoozero,RU,62.5903,40.6066,8.71,94,95,4.36,overcast clouds
108,Dikson,RU,73.5069,80.5464,-15.52,97,100,19.75,overcast clouds
109,Berlevåg,NO,70.8578,29.0864,16.02,84,96,17.16,overcast clouds
110,Chokurdakh,RU,70.6333,147.9167,-18.69,98,100,4.14,overcast clouds
111,Malvern,US,34.3623,-92.813,40.93,81,2,1.21,clear sky
112,Saint George,US,37.1041,-113.5841,52.99,37,0,3.27,clear sky
113,Coquimbo,CL,-29.9533,-71.3436,59.77,79,0,2.91,clear sky
114,Bagotville,AU,-28.9833,153.4167,67.89,85,34,4.88,scattered clouds
115,Lavrentiya,RU,65.5833,-171.0,-11.49,92,21,7.61,few clouds
116,Moba,CN,33.2288,105.0179,32.97,54,3,5.19,clear sky
117,Bethel,US,41.3712,-73.414,28.09,95,96,4.72,overcast clouds
118,Severo-Kuril'sk,RU,50.6789,156.125,31.39,79,100,7.07,overcast clouds
119,Imbituba,BR,-28.24,-48.6703,77.41,70,17,2.82,few clouds
120,Acapulco de Juárez,MX,16.8634,-99.8901,75.09,79,11,3.6,few clouds
121,Devils Lake,US,48.1128,-98.8651,32.36,91,68,8.84,broken clouds
122,Tasiilaq,GL,65.6145,-37.6368,23.68,94,100,15.37,snow
123,Alice Springs,AU,-23.7,133.8833,80.6,20,3,11.86,clear sky
124,Marathon,US,44.9,-89.7668,23.95,54,100,4.29,overcast clouds
125,Edéa,CM,3.8,10.1333,88.77,59,80,1.74,broken clouds
126,Tuktoyaktuk,CA,69.4541,-133.0374,-9.35,93,100,18.66,overcast clouds
127,Arraial do Cabo,BR,-22.9661,-42.0278,73.85,85,18,12.03,few clouds
128,Uporovo,RU,56.3109,66.2693,21.61,82,92,8.57,overcast clouds
129,Derzhavīnsk,KZ,51.1,66.3167,21.96,81,100,6.33,overcast clouds
130,Nikel,RU,69.4128,30.222,4.3,95,100,8.68,overcast clouds
131,Shubarshi,KZ,48.5872,57.1869,27.43,81,2,2.84,clear sky
132,Banjar,ID,-8.19,114.9675,77.02,90,100,0.89,heavy intensity rain
133,New Norfolk,AU,-42.7826,147.0587,50.76,98,56,1.34,broken clouds
134,Shimoda,JP,34.6667,138.95,54.45,75,55,8.7,broken clouds
135,Ilulissat,GL,69.2167,-51.1,27.43,96,100,9.22,light snow
136,Kanchanaburi,TH,14.6333,99.1,75.56,74,38,5.06,scattered clouds
137,Nago,JP,26.5881,127.9761,70.41,76,91,16.71,overcast clouds
138,Airai,TL,-8.9266,125.4092,61.95,94,100,2.42,moderate rain
139,Tiksi,RU,71.6872,128.8694,-19.88,100,82,6.31,broken clouds
140,Māngrol,IN,21.1167,70.1167,85.42,40,95,4.68,overcast clouds
141,Sakaiminato,JP,35.55,133.2333,54.88,59,26,6.71,scattered clouds
142,Charlestown,AU,-32.95,151.6667,62.96,88,45,6.42,scattered clouds
143,Eskişehir,TR,39.7767,30.5206,72.88,28,27,37.58,light rain
144,San Patricio,US,28.017,-97.5169,53.33,88,27,4.85,scattered clouds
145,Cascavel,BR,-24.9558,-53.4553,65.82,88,97,8.52,overcast clouds
146,Port Alfred,ZA,-33.5906,26.891,71.35,68,10,10.96,clear sky
147,Angoche,MZ,-16.2325,39.9086,84.43,53,2,11.52,clear sky
148,Chilca,PE,-12.5211,-76.7372,63.93,90,79,2.91,broken clouds
149,Beihai,CN,21.4833,109.1,72.63,60,83,6.15,broken clouds
150,Mount Isa,AU,-20.7333,139.5,91.17,19,60,14.0,broken clouds
151,Yanta,CN,36.2411,115.6672,44.64,86,100,10.36,light rain
152,Saint Anthony,US,45.0205,-93.218,32.99,45,100,8.52,overcast clouds
153,Bambanglipuro,ID,-7.95,110.2833,78.57,74,32,5.79,scattered clouds
154,Honningsvåg,NO,70.9821,25.9704,22.84,84,90,26.06,overcast clouds
155,Oodweyne,SO,9.4092,45.064,82.63,21,5,20.6,clear sky
156,Half Moon Bay,US,37.4636,-122.4286,57.94,69,0,4.32,clear sky
157,Havøysund,NO,70.9963,24.6622,20.66,77,91,11.74,overcast clouds
158,Pitsunda,GE,43.1592,40.3378,65.21,70,71,12.66,broken clouds
159,Show Low,US,34.2542,-110.0298,37.24,51,0,4.68,clear sky
160,Carutapera,BR,-1.195,-46.02,80.71,84,29,8.66,scattered clouds
161,Morondava,MG,-20.2833,44.2833,81.72,67,0,13.76,clear sky
162,Kuytun,RU,54.3419,101.5036,21.76,81,100,10.87,overcast clouds
163,Abay,KZ,49.6311,72.8539,14.16,71,26,4.0,scattered clouds
164,Dunedin,NZ,-45.8742,170.5036,57.15,76,68,5.28,broken clouds
165,Skibbereen,IE,51.55,-9.2667,51.78,78,99,8.99,overcast clouds
166,Inírida,CO,3.8653,-67.9239,72.91,99,100,1.66,moderate rain
167,Nouadhibou,MR,20.931,-17.0347,65.5,58,97,21.21,overcast clouds
168,Kungurtug,RU,50.5994,97.5228,4.35,98,84,1.5,broken clouds
169,Puerto Escondido,MX,15.85,-97.0667,75.87,67,3,4.56,clear sky
170,Aranjuez,ES,40.0311,-3.6025,51.04,62,12,16.93,few clouds
171,Khatanga,RU,71.9667,102.5,-11.94,98,100,8.3,overcast clouds
172,Pacific Grove,US,36.6177,-121.9166,58.03,67,0,6.22,clear sky
173,Emerald,AU,-23.5333,148.1667,74.95,84,99,12.73,light rain
174,Hong Kong,HK,22.2855,114.1577,73.62,59,36,3.65,scattered clouds
175,Safi,MA,32.2994,-9.2372,61.43,51,0,15.26,clear sky
176,Oranjestad,AW,12.524,-70.027,80.69,82,88,19.37,overcast clouds
177,Shorāpur,IN,16.5167,76.75,73.69,79,96,8.52,overcast clouds
178,Ugoofaaru,MV,5.6667,73.0,80.64,80,100,15.79,heavy intensity rain
179,Pangai,TO,-19.8,-174.35,78.13,59,54,16.13,broken clouds
180,Sumbawanga,TZ,-7.9667,31.6167,76.98,41,56,4.34,broken clouds
181,Clarence Town,AU,-32.5833,151.7833,60.53,95,63,4.18,broken clouds
182,Bathsheba,BB,13.2167,-59.5167,79.52,72,65,17.22,broken clouds
183,Piombino,IT,42.9348,10.5221,49.84,54,89,18.3,overcast clouds
184,Cockburn Town,TC,21.4612,-71.1419,80.47,68,7,11.45,clear sky
185,Ciudad Bolivar,VE,8.1222,-63.5497,73.76,90,75,6.24,broken clouds
186,East London,ZA,-33.0153,27.9116,72.82,64,1,11.56,clear sky
187,Qaqortoq,GL,60.7167,-46.0333,37.4,84,98,17.54,light rain
188,Rafrāf,TN,37.1904,10.1837,47.97,87,98,21.23,overcast clouds
189,Chui,UY,-33.6971,-53.4616,62.69,93,89,11.05,overcast clouds
190,Lokosovo,RU,61.1333,74.8167,24.39,91,100,13.6,overcast clouds
191,Cherskiy,RU,68.75,161.3,-19.79,98,100,3.94,overcast clouds
192,Galesong,ID,-5.3166,119.3661,78.55,84,100,2.55,moderate rain
193,Kaitangata,NZ,-46.2817,169.8464,54.61,61,80,6.64,broken clouds
194,Mahabalipuram,IN,12.6264,80.1722,81.18,79,100,10.18,light rain
195,Camacha,PT,33.0833,-16.3333,62.06,65,73,18.3,broken clouds
196,Klyuchi,RU,52.2667,79.1667,18.57,86,53,7.11,broken clouds
197,Berdigestyakh,RU,62.0989,126.6992,-15.03,100,94,1.81,overcast clouds
198,Vila Velha,BR,-20.3297,-40.2925,77.49,78,8,4.81,clear sky
199,Comodoro Rivadavia,AR,-45.8667,-67.5,58.06,45,8,17.58,clear sky
200,Umluj,SA,25.0213,37.2685,87.6,43,24,9.62,few clouds
